id,text,timestamp,source,companies,url
1.01932E+18,"LIVE: @leemunson on $NFLX: ""If you like overpriced stocks this is a good way to go. ... Netflix is going to have tâ€_ https://t.co/zKnfD4fe38",Tue Jul 17 20:21:24 +0000 2018,YahooFinance,NFLX-NFLX,https://twitter.com/i/web/status/1019316156505776128
1.01932E+18,"LIVE: @leemunson on $AMZN: ""If you look at Amazon you have to look at the law of large numbers. ... If I had to hoâ€_ https://t.co/Qhud2rVEiG",Tue Jul 17 20:23:43 +0000 2018,YahooFinance,AMZN-A-AMZN,https://twitter.com/i/web/status/1019316742135435265
1.01932E+18,Portions of Googleâ€™s cloud-computing service went down Tuesday bringing with it Snapchat and Spotifyâ€_ https://t.co/1NGQKd8ebk,Tue Jul 17 20:43:42 +0000 2018,business,SNAP,https://twitter.com/i/web/status/1019321768383827968
1.01932E+18,U.S. homebuilder sentiment steady as demand optimism zigzag https://t.co/wuzz6eLbsc via @business https://t.co/w1BDfI0Nw4,Tue Jul 17 20:45:09 +0000 2018,YahooFinance,USB-USB,https://yhoo.it/2usb6Ec
1.01933E+18,Bitcoin passes $7K bringing all 100 top coins up with it https://t.co/jl5Jedr20z by @tayhatmaker https://t.co/RR1xPHPoCX,Tue Jul 17 21:00:34 +0000 2018,TechCrunch,HPQ-HPQ-BTC,https://tcrn.ch/2Nou7OV
1.01933E+18,Texas Instruments CEO Brian Crutcher resigns due to violations of company's code of conduct https://t.co/ujp79GGo2N https://t.co/mb9kCugbU7,Tue Jul 17 21:15:10 +0000 2018,YahooFinance,TXN-TXN,https://yhoo.it/2uFDamz
1.01933E+18,Texas Instruments CEO Brian Crutcher resigns over violating the company's code of conduct after less than two monthâ€_ https://t.co/fZmI65Ukll,Tue Jul 17 21:24:19 +0000 2018,WSJ,TXN-TXN,https://twitter.com/i/web/status/1019331992704503808
1.01933E+18,Russia falls off U.S. list of major holders of Treasuries https://t.co/3E3KvYeC9R https://t.co/Vsp2Z5FvEp,Tue Jul 17 21:31:18 +0000 2018,YahooFinance,USB-USB,https://yhoo.it/2JBJykw
1.01933E+18,CSX rises after stunning Wall Street with rail-efficiency gains https://t.co/2zE2jRn2RN https://t.co/T1XtymvVrt,Tue Jul 17 21:31:03 +0000 2018,business,CSX-CSX,https://bloom.bg/2zMSMKV
1.01933E+18,RT @ForbesCrypto: The price of bitcoin surges past $7000 to reach 1-month high: https://t.co/TGV3uSsCvQ by @CharlesLBovaird https://t.co/câ€_,Tue Jul 17 21:33:08 +0000 2018,Forbes,BTC,http://on.forbes.com/6015DqPeU
1.01934E+18,CSX profit tops Wall St. target on expense controls shares rise https://t.co/fXyqDjJvOd https://t.co/m4C4T3muXl,Tue Jul 17 21:43:02 +0000 2018,YahooFinance,CSX-CSX-TGT,https://yhoo.it/2Lru04z
1.01934E+18,Texas Instruments CEO resigns after code of conduct violations https://t.co/6pW9cnoUJu,Tue Jul 17 21:43:10 +0000 2018,FT,TXN-TXN,https://on.ft.com/2L0ZwKg
1.01934E+18,Netflix CEO Reed Hastings' net worth dropped by about $190 million today after the company's stock plungedâ€_ https://t.co/FshZyNZdtz,Tue Jul 17 21:45:01 +0000 2018,Forbes,NFLX-NFLX,https://twitter.com/i/web/status/1019337199878320133
1.01934E+18,NLRB judge rejects McDonald's proposed settlement on retaliation https://t.co/johw1HZuSR https://t.co/UCQFmXvYP0,Tue Jul 17 21:50:11 +0000 2018,business,MCD,https://bloom.bg/2zLq2SJ
1.01934E+18,Texas Instruments CEO resigns on code of conduct violation https://t.co/pQWAXVzcOH https://t.co/SbvXa2Qy3M,Tue Jul 17 21:50:24 +0000 2018,Reuters,TXN-TXN,https://reut.rs/2NYltYv
1.01934E+18,https://t.co/vmG9jDF6xR,Tue Jul 17 22:00:15 +0000 2018,Forbes,JD,http://www.forbes.com/sites/vanessamcgrady/2016/07/07/waste/?utm_source=TWITTER&utm_medium=social&utm_term=Malorie/#6d616c6f7269
1.01934E+18,An open letter to Elon Musk $TSLA https://t.co/nsgIJFttJ8 by Gene Munster @LoupVentures https://t.co/2s5cc8k9ob,Tue Jul 17 22:01:03 +0000 2018,YahooFinance,TSLA-T-T,https://yhoo.it/2LnPIpU
1.01934E+18,Amazon says Prime Day sales in the U.S. were â€œbigger than everâ€ù growing faster in the first 10 hours year-over-yeaâ€_ https://t.co/dbdH50xGqk,Tue Jul 17 22:05:04 +0000 2018,MarketWatch,AMZN-USB-AMZN-USB,https://twitter.com/i/web/status/1019342246125211648
1.01935E+18,Twitter is holding off on fixing verification policy to focus on election integrity https://t.co/QUPKGaeQAv byâ€_ https://t.co/hR2V943set,Tue Jul 17 22:21:41 +0000 2018,TechCrunch,TWTR,https://tcrn.ch/2zPu7p4
1.01935E+18,Texas Instruments ex-CEO may forfeit $43.3 million on misconduct https://t.co/hrJkzZ9h30 https://t.co/K2s2cufCZ3,Tue Jul 17 22:24:23 +0000 2018,business,TXN-TXN,https://bloom.bg/2L5Dp5F
1.01935E+18,Powell testimony Morgan Stanley earnings â€” What you need to know in markets on Wednesday https://t.co/HO9r4MG8Yh vâ€_ https://t.co/9percOYAtD,Tue Jul 17 22:29:02 +0000 2018,YahooFinance,MS-MS,https://yhoo.it/2JwOUxo
1.01935E+18,The depth of American intelligence into Russian operations 'a triumph'--and Trump should trust itâ€_ https://t.co/hyjWi5wSBx,Tue Jul 17 22:30:01 +0000 2018,Forbes,INTC-AIG-INTC,https://twitter.com/i/web/status/1019348523882614784
1.01935E+18,See today's top U.S. sports headlines https://t.co/RVryAQdPqd https://t.co/UQm5sYMxIN,Tue Jul 17 22:30:00 +0000 2018,Reuters,USB-USB,https://reut.rs/2L09coy1019348523882614800,The depth of American intelligence into Russian operations 'a triumph'--and Trump should trust it‚Ä¶ https://t.co/hyjWi5wSBx,Tue Jul 17 22:30:01 +0000 2018,Forbes,INTC-AIG,https://twitter.com/i/web/status/1019348523882614784
1019346428232126500,Twitter is holding off on fixing verification policy to focus on election integrity https://t.co/QUPKGaeQAv by‚Ä¶ https://t.co/hR2V943set,Tue Jul 17 22:21:41 +0000 2018,TechCrunch,TWTR,https://tcrn.ch/2zPu7p4
1019348277249171500,Powell testimony Morgan Stanley earnings ‚Äî What you need to know in markets on Wednesday https://t.co/HO9r4MG8Yh v‚Ä¶ https://t.co/9percOYAtD,Tue Jul 17 22:29:02 +0000 2018,YahooFinance,MS,https://yhoo.it/2JwOUxo
1019351691026747400,Caterpillar's 50-day moving average has been above the 200-day moving average for the longest stretch in at least 4‚Ä¶ https://t.co/bqGiR1CwQw,Tue Jul 17 22:42:36 +0000 2018,MarketWatch,CAT,https://twitter.com/i/web/status/1019351691026747392
1019353672604704800,U.S. labor board judge rejects McDonald's bid to settle franchisees' case https://t.co/V4ABvXL5CS https://t.co/ZtzrwlmA81,Tue Jul 17 22:50:28 +0000 2018,Reuters,MCD-USB,https://reut.rs/2NqDoWL
1019346428232126500,Twitter is holding off on fixing verification policy to focus on election integrity https://t.co/QUPKGaeQAv by‚Ä¶ https://t.co/hR2V943set,Tue Jul 17 22:21:41 +0000 2018,TechCrunch,TWTR,https://tcrn.ch/2zPu7p4
1019348073108115500,RT @BrianSozzi: You made our infographic @lloydblankfein https://t.co/aizKftAAeJ $GS h/t @AnneSraders https://t.co/6G11WD4jJT,Tue Jul 17 22:28:13 +0000 2018,jimcramer,GS,https://bit.ly/2NYPtU2
1019351691026747400,Caterpillar's 50-day moving average has been above the 200-day moving average for the longest stretch in at least 4‚Ä¶ https://t.co/bqGiR1CwQw,Tue Jul 17 22:42:36 +0000 2018,MarketWatch,CAT,https://twitter.com/i/web/status/1019351691026747392
1019353672604704800,U.S. labor board judge rejects McDonald's bid to settle franchisees' case https://t.co/V4ABvXL5CS https://t.co/ZtzrwlmA81,Tue Jul 17 22:50:28 +0000 2018,Reuters,MCD-USB,https://reut.rs/2NqDoWL
967109381098758100,New time: Janet Yellen and I in conversation at Brookings on Feb. 27 at 2 PM EST. Join us online or on Facebook Liv‚Ä¶ https://t.co/hDg7X5Rc5P,Fri Feb 23 18:50:19 +0000 2018,benbernanke,FB,https://twitter.com/i/web/status/967109381098758144
1019321512963211300,This year‚Äôs winners of the U.S. Morgan Stanley Strategy Challenge pro bono program believe that giving back to the‚Ä¶ https://t.co/jxMKQk4722,Tue Jul 17 20:42:41 +0000 2018,MorganStanley,MS-USB,https://twitter.com/i/web/status/1019321512963211267
1008805094295470100,Read our latest letter to $SD stockholders (including other important information) here: https://t.co/RwWO3usekb,Mon Jun 18 20:14:11 +0000 2018,Carl_C_Icahn,S,http://carlicahn.com/open-letter-to-sandridge-energy-stockholders-9/
1019354527332491300,One of Tesla‚Äôs biggest bulls is offering Elon Musk some advice: Cool it https://t.co/NnSk9zNdTY https://t.co/w1QUBOt84R,Tue Jul 17 22:53:52 +0000 2018,business,TSLA,https://bloom.bg/2NpfI4P
1019356180848762900,Remembering the liberal case for the welfare state https://t.co/hJFMkOJmJD,Tue Jul 17 23:00:26 +0000 2018,TheEconomist,JD,https://econ.st/2zTZFdE
1019356192211075100,Caterpillar‚Äôs stock chart has produced a ‚Äúdeath cross‚Äù on Tuesday to snap the longest bullish trend-following stre‚Ä¶ https://t.co/mPyhnazzPw,Tue Jul 17 23:00:29 +0000 2018,MarketWatch,SNAP-CAT,https://twitter.com/i/web/status/1019356192211075072
1019356366446714900,Kamich: Broadcom Has Its Work Cut Out for It on the Charts https://t.co/tgi7ePYSBj,Tue Jul 17 23:01:11 +0000 2018,jimcramer,AVGO,http://bit.ly/2mo8ant
1019356138301788200,The U.S. gun-rights community is surprised by charges against alleged spy Maria Butina who promoted gun ownership‚Ä¶ https://t.co/AD0TuuvF5r,Tue Jul 17 23:00:16 +0000 2018,WSJ,USB,https://twitter.com/i/web/status/1019356138301788162
1019358698651734000,U.S. move to protect 'dark money' donors raises Russia concerns https://t.co/Saai6iBUHs https://t.co/USOBx64wCF,Tue Jul 17 23:10:27 +0000 2018,Reuters,USB,https://reut.rs/2NpM0wJ
1019358690552500200,this versus the jackals who tried to get 15-20 points on Netflix.. i do not run a trading show... https://t.co/nWn6n5OCQz,Tue Jul 17 23:10:25 +0000 2018,jimcramer,NFLX,https://twitter.com/JessieLivermore/status/1019349974214115328
1019359267630002200,Vietnam goes on the defense as China and the U.S. clash over trade https://t.co/Zf4LNGT7Kr https://t.co/hcpOTZrXVf,Tue Jul 17 23:12:42 +0000 2018,business,HCP-USB,https://bloom.bg/2NoE0Mp
1019359602188652500,What has a giant port and tons of coders? Mayor sells L.A. for Amazon‚Äôs HQ2 https://t.co/fWVqMRaGoS via @business https://t.co/xoeTDUNq0q,Tue Jul 17 23:14:02 +0000 2018,YahooFinance,AMZN,https://yhoo.it/2L5m0Kt
1019360369742000100,Trump‚Äôs 2020 campaign manager Brad Parscale says Facebook and Twitter are inherently biased against the president a‚Ä¶ https://t.co/snkNLr4Ywr,Tue Jul 17 23:17:05 +0000 2018,business,FB-TWTR,https://twitter.com/i/web/status/1019360369742000128
1019362845941796900,U.S. Open tennis to offer record prize money in 2018 https://t.co/YrsFlE3OOV https://t.co/emz0lfX7Hs,Tue Jul 17 23:26:55 +0000 2018,Reuters,USB,https://reut.rs/2NXsQza
1019363911278252000,Texas Instruments said CEO Brian Crutcher has resigned after less than two months in the job citing violations of‚Ä¶ https://t.co/APIerG9HEa,Tue Jul 17 23:31:09 +0000 2018,business,TXN,https://twitter.com/i/web/status/1019363911278252032
1019364056388591600,Majority of Americans think Trump mishandling Russia: Reuters/Ipsos poll https://t.co/RqisPQroSs,Tue Jul 17 23:31:44 +0000 2018,Reuters,AIG,https://reut.rs/2zO8ndd
1019364374107099100,Are you ready for $MSFT?  https://t.co/cCGY7K0Ygd,Tue Jul 17 23:33:00 +0000 2018,TheStreet,MSFT-MS-M,https://buff.ly/2JubuXr
1019367325127061500,U.S. pays Trump's Scotland golf resort $77000 ahead of visit https://t.co/L64CQnN2oL,Tue Jul 17 23:44:43 +0000 2018,Reuters,USB,https://reut.rs/2L2aIX8
1019367656955228200,Chart: Amazon Prime Day depresses retailer foot traffic $AMZN https://t.co/pGEQeOY09t by @melodyhahm https://t.co/kj3kE82fob,Tue Jul 17 23:46:03 +0000 2018,YahooFinance,AMZN-A,https://yhoo.it/2KV2sbA
1019367399244615700,3 things to watch when Microsoft reports earnings on Thursday via @EricJhonsa https://t.co/uJGkckrHvx,Tue Jul 17 23:45:01 +0000 2018,jimcramer,MSFT,http://bit.ly/2NoVnwx
1019370135977644000,Altria the maker of Marlboros for the U.S. market thinks low-nicotine cigarettes could lead to about a million lo‚Ä¶ https://t.co/c9IB7nNuwz,Tue Jul 17 23:55:54 +0000 2018,business,MO-USB,https://twitter.com/i/web/status/1019370135977644033
1019372379741532200,CSX profit tops Wall St target on cost cuts pricing power https://t.co/O6zSQVi6On https://t.co/iFae6e2Mb7,Wed Jul 18 00:04:49 +0000 2018,Reuters,CSX-TGT,https://reut.rs/2NnJVRK
1008805094295470100,Read our latest letter to $SD stockholders (including other important information) here: https://t.co/RwWO3usekb,Mon Jun 18 20:14:11 +0000 2018,Carl_C_Icahn,S,http://carlicahn.com/open-letter-to-sandridge-energy-stockholders-9/
1019373197572165600,Buy Microsoft not IBM ‚Äî and find the winners in six other sectors https://t.co/dtjFCdyW4r via @JeffReevesIP https://t.co/RZPChfk8Om,Wed Jul 18 00:08:03 +0000 2018,MarketWatch,MSFT,https://on.mktw.net/2uvztkh
1008805094295470100,Read our latest letter to $SD stockholders (including other important information) here: https://t.co/RwWO3usekb,Mon Jun 18 20:14:11 +0000 2018,Carl_C_Icahn,S,http://carlicahn.com/open-letter-to-sandridge-energy-stockholders-9/
967109381098758100,New time: Janet Yellen and I in conversation at Brookings on Feb. 27 at 2 PM EST. Join us online or on Facebook Liv‚Ä¶ https://t.co/hDg7X5Rc5P,Fri Feb 23 18:50:19 +0000 2018,benbernanke,FB,https://twitter.com/i/web/status/967109381098758144
1019373942778232800,RT @ReutersPolitics: More than half of Americans disapprove of the way President Trump is handling relations with Russia in latest Reuters/‚Ä¶,Wed Jul 18 00:11:01 +0000 2018,Reuters,AIG,undefined
1019374956818387000,Exclusive: Launch date price and first fights for 'Netflix of sports' DAZN https://t.co/qDza6I1ldq by‚Ä¶ https://t.co/kxJwXPznGy,Wed Jul 18 00:15:03 +0000 2018,YahooFinance,NFLX,https://yhoo.it/2uK58Om
1019367399244615700,3 things to watch when Microsoft reports earnings on Thursday via @EricJhonsa https://t.co/uJGkckrHvx,Tue Jul 17 23:45:01 +0000 2018,jimcramer,MSFT,http://bit.ly/2NoVnwx
1019321512963211300,This year‚Äôs winners of the U.S. Morgan Stanley Strategy Challenge pro bono program believe that giving back to the‚Ä¶ https://t.co/jxMKQk4722,Tue Jul 17 20:42:41 +0000 2018,MorganStanley,MS-USB,https://twitter.com/i/web/status/1019321512963211267
1019373197572165600,Buy Microsoft not IBM ‚Äî and find the winners in six other sectors https://t.co/dtjFCdyW4r via @JeffReevesIP https://t.co/RZPChfk8Om,Wed Jul 18 00:08:03 +0000 2018,MarketWatch,MSFT,https://on.mktw.net/2uvztkh
1008805094295470100,Read our latest letter to $SD stockholders (including other important information) here: https://t.co/RwWO3usekb,Mon Jun 18 20:14:11 +0000 2018,Carl_C_Icahn,S,http://carlicahn.com/open-letter-to-sandridge-energy-stockholders-9/
967109381098758100,New time: Janet Yellen and I in conversation at Brookings on Feb. 27 at 2 PM EST. Join us online or on Facebook Liv‚Ä¶ https://t.co/hDg7X5Rc5P,Fri Feb 23 18:50:19 +0000 2018,benbernanke,FB,https://twitter.com/i/web/status/967109381098758144
1019376334378864600,Nicaraguan police surround attack anti-government stronghold https://t.co/9tDpMStSdR https://t.co/RTVPHndhPG,Wed Jul 18 00:20:31 +0000 2018,Reuters,HPQ,https://reut.rs/2NZsI27
1019376539677253600,Undercover report shows the Facebook moderation sausage being made https://t.co/YsUMXiEg0S https://t.co/jzbg9V3ESE,Wed Jul 18 00:21:20 +0000 2018,TechCrunch,FB,https://tcrn.ch/2NprDQg
1019384783636435000,Amazon Prime Day U.S. sales bigger than last year despite site issues https://t.co/XvTtwJbWNv,Wed Jul 18 00:54:06 +0000 2018,TechCrunch,AMZN-USB,https://tcrn.ch/2L2VUHX
1019399006949138400,BHP climbs more than 3% on new forecast for iron ore output https://t.co/O25x9HPpRr,Wed Jul 18 01:50:37 +0000 2018,FT,HPQ,https://on.ft.com/2Nl2qX5
1019397162462076900,RT @BrianSozzi: You made our infographic @lloydblankfein https://t.co/aizKftAAeJ $GS h/t @AnneSraders https://t.co/6G11WD4jJT,Wed Jul 18 01:43:17 +0000 2018,TheStreet,GS,https://bit.ly/2NYPtU2
1019398737888727000,Bitcoin surges after breaking back through $7000 level https://t.co/2P3AzyzeTd https://t.co/btxCNr1Vh1,Wed Jul 18 01:49:33 +0000 2018,business,BTC,https://bloom.bg/2L0vo1P
1019385339222286300,Respect to ‚Å¶@elonmusk‚Å© and Gene. We all mean this well and with love. ‚Å¶@LoupVentures‚Å© #Tesla $tsla  https://t.co/4XYzBTvyt4,Wed Jul 18 00:56:18 +0000 2018,GerberKawasaki,TSLA-T,https://loupventures.com/an-open-letter-to-elon-musk/
1019398956940513300,U.S. grand jury indicts woman on charges of being Russian agent https://t.co/yeN9OKNwIH https://t.co/sFlcX1WWcj,Wed Jul 18 01:50:25 +0000 2018,Reuters,USB,https://reut.rs/2Nl2qGz
1019400819228020700,‚ÄúLot of crow eating around here.‚Äù Sandy Munro #TeslaModel3 analysis. $tsla #tesla  https://t.co/XuRORrgXI7,Wed Jul 18 01:57:49 +0000 2018,GerberKawasaki,TSLA-T,http://www.autoline.tv/journal/?p=56164
1019401367683625000,NBA's Nuggets welcome Thomas to 'explosive core' and more U.S. sports headlines https://t.co/RVryAQdPqd https://t.co/cxwfeL2MWl,Wed Jul 18 02:00:00 +0000 2018,Reuters,USB,https://reut.rs/2L09coy
1019401895268495400,After the worst mass shooting in modern U.S. history took place at one of its Las Vegas hotels MGM is suing to pre‚Ä¶ https://t.co/Bbf3TlGJfH,Wed Jul 18 02:02:06 +0000 2018,nytimes,USB,https://twitter.com/i/web/status/1019401895268495360
1019404013421367300,Oil prices fall after surprise rise in U.S. inventories https://t.co/V3BFAax9Ec https://t.co/dR1XMZxwI3,Wed Jul 18 02:10:31 +0000 2018,Reuters,USB,https://reut.rs/2NrAfpB
1019408473149370400,Medical errors may kill as many as 98000 Americans a year https://t.co/Pde3HYQUzm,Wed Jul 18 02:28:14 +0000 2018,TheEconomist,AIG,https://econ.st/2L4uWj1
1019409116052144100,Former U.S. leader Barack Obama says borders not an "excuse for immigration policies based on race ethnicity or re‚Ä¶ https://t.co/JOEykvKEMO,Wed Jul 18 02:30:47 +0000 2018,business,USB,https://twitter.com/i/web/status/1019409116052144128
